transaction_id,timestamp,amount,transaction_type,subject,description,status,country
5877,2023-06-30 07:56:05,145.34,acquisto,Donna Gibbs,Someone range authority knowledge subject discover long.,autorizzata,Thailand
6556,2023-03-04 05:45:22,282.89,acquisto,Michael Bonilla MD,Write reveal discussion far special goal.,autorizzata,Cape Verde
1449,2023-01-21 07:52:26,612.15,trasferimento,Dorothy Marshall,Practice nation whole right maintain foreign would.,sospetta,Denmark
3352,2023-03-26 10:28:34,121.07,trasferimento,Michael Lewis,Program these bill raise bring expect sound anyone.,autorizzata,Gibraltar
232,2023-04-28 16:57:55,345.98,trasferimento,Sharon Gould DDS,By agent song board.,sospetta,Denmark
1205,2023-05-20 06:06:47,554.24,trasferimento,Brandy Robertson,Agency full network walk nice animal address.,autorizzata,Costa Rica
1912,2023-07-11 21:56:39,295.14,trasferimento,Shannon Morris,Article under structure arrive.,sospetta,Ireland
9649,2023-06-07 14:25:38,802.67,trasferimento,Traci Kent,Fact rather production hundred usually assume.,autorizzata,Tanzania
8439,2023-07-08 15:17:12,435.23,trasferimento,Dominique Peters,Serve health help last much pretty range.,autorizzata,Sri Lanka
7542,2023-08-02 22:06:45,964.43,prelievo,Nicholas Adkins,Party pass charge important fill.,autorizzata,Antigua and Barbuda
2590,2023-07-04 02:23:11,364.9,prelievo,Justin Jackson,Themselves not serve we relationship continue.,autorizzata,American Samoa
978,2023-03-15 22:35:09,695.22,trasferimento,Lisa Hodge DVM,Dream course evidence air relate.,autorizzata,Marshall Islands
4685,2023-05-02 10:23:55,28.07,prelievo,Jonathan Carrillo,To human fill environmental must hope region give.,autorizzata,Andorra
3815,2023-04-21 12:20:43,686.78,trasferimento,Trevor Lynn,Mr after spend save most that special meeting.,autorizzata,Anguilla
4024,2023-01-05 06:24:48,306.47,prelievo,Timothy Buckley,West like baby attorney tree.,autorizzata,Oman
4190,2023-06-21 23:02:49,718.45,prelievo,Scott Sharp,Smile whatever during student material.,autorizzata,Kiribati
9247,2023-08-19 15:41:15,268.88,trasferimento,Eric Sparks,Describe so former card worry player.,autorizzata,Nicaragua
9005,2023-02-02 13:41:44,73.12,acquisto,Brittany Fowler,Performance member enjoy budget then member ago.,autorizzata,Armenia
4647,2023-02-05 23:25:21,73.13,acquisto,Cathy Simmons,Appear chance benefit trial inside go.,autorizzata,Zambia
8731,2023-07-06 12:43:51,126.72,prelievo,Philip David,Adult I realize indeed director before skin write.,autorizzata,Vietnam
7911,2023-01-01 00:02:52,544.05,prelievo,Amber Allen,Thus back since.,autorizzata,Congo
3741,2023-03-23 08:31:24,507.6,acquisto,Jacob Barr,Well president music indicate response.,autorizzata,Cameroon
2676,2023-04-25 02:50:54,443.23,prelievo,Dawn Petersen,Already without thus support.,autorizzata,Bermuda
7112,2023-01-28 01:30:53,914.01,acquisto,Christopher Burton,However administration try street push expert.,autorizzata,Hong Kong
2424,2023-08-08 06:21:17,68.31,trasferimento,Andrea Martinez,Chair sort eye sea citizen tonight.,autorizzata,Monaco
5643,2023-05-03 14:25:00,854.93,acquisto,April Gutierrez,Ready camera seem but against special.,autorizzata,Zimbabwe
851,2023-06-15 09:43:33,31.28,trasferimento,Joshua Cooke,Beat music past.,autorizzata,Mozambique
899,2023-01-11 14:03:48,700.2,trasferimento,Steven Burton,Enough interview list exactly education idea manager.,sospetta,Czech Republic
6337,2023-06-08 13:15:47,20.55,acquisto,Victoria Garcia,Majority green new what employee I when.,autorizzata,Cote d'Ivoire
2472,2023-01-22 16:06:54,678.31,acquisto,Samantha Villa,Tell road might home environmental dream art.,autorizzata,Angola
2850,2023-07-28 09:16:04,659.4,trasferimento,Tracy Charles,Or three forward military.,autorizzata,Kenya
6913,2023-02-26 22:35:09,43.76,prelievo,Lisa Fox,Usually around safe student which.,autorizzata,Mozambique
7334,2023-02-26 02:39:43,318.5,prelievo,Daniel Wright,Much capital deep suddenly from.,sospetta,Bulgaria
7962,2023-06-06 17:09:25,46.3,prelievo,Taylor Jones,Safe beat institution.,autorizzata,Bhutan
5388,2023-04-13 22:29:00,469.44,acquisto,Troy Cobb,Reason language rate successful nation guess.,autorizzata,Cocos (Keeling) Islands
195,2023-07-28 12:11:27,212.41,acquisto,Melissa Cooper,Draw fight follow.,autorizzata,Lebanon
8545,2023-05-18 13:18:37,375.33,prelievo,Whitney Richardson,See activity choice movie everybody share approach.,autorizzata,Israel
7786,2023-06-12 13:33:37,639.58,acquisto,Sheila Wilson,Pass daughter position bad question.,autorizzata,Anguilla
6763,2023-01-12 01:55:17,590.06,prelievo,Sarah Sanchez,Seat understand similar yard.,autorizzata,Thailand
5095,2023-07-15 11:44:27,427.27,acquisto,Michelle Pruitt,Person left article life free ground.,autorizzata,Turkmenistan
5968,2023-04-02 14:39:47,132.05,acquisto,Thomas Fernandez,Close finish yes a my up half close.,autorizzata,United States Virgin Islands
9491,2023-07-26 08:29:23,535.01,trasferimento,Ronald Cooper,Ahead speak street of direction.,sospetta,Sweden
7073,2023-07-10 20:09:38,899.35,trasferimento,Jared Thomas,Us commercial lead fill.,autorizzata,Seychelles
6684,2023-04-14 16:05:19,38.59,prelievo,Sarah Martin,Center identify meeting move we.,autorizzata,Peru
1898,2023-02-05 06:30:46,832.94,prelievo,Justin Clay,Truth your yard program oil.,autorizzata,Djibouti
578,2023-06-17 23:40:57,25.76,acquisto,William Mcgee,Cup think south director appear shoulder.,autorizzata,Yemen
6329,2023-07-24 15:05:57,752.75,trasferimento,Jeremy Frederick,Late national day rise person or material.,autorizzata,Western Sahara
2231,2023-06-24 23:55:06,365.05,acquisto,Henry Hardin,Himself born including realize figure.,autorizzata,Micronesia
4009,2023-04-02 03:04:13,542.27,acquisto,Kimberly Torres,Either current her television rest.,autorizzata,Haiti
1009,2023-08-06 16:17:05,286.62,trasferimento,Nichole Craig,Safe just body trip.,autorizzata,Iceland
7176,2023-06-30 16:25:06,352.06,acquisto,Carly Lane,Right feel since serve decision physical kid.,autorizzata,Turkmenistan
3521,2023-02-18 21:22:54,34.36,prelievo,Candice Nash,Rate bill statement social.,autorizzata,Belarus
4329,2023-08-21 18:53:26,603.85,trasferimento,Donna Hood,Around now it them simple will.,autorizzata,South Georgia and the South Sandwich Islands
3347,2023-05-27 12:13:55,760.96,trasferimento,Destiny Wade,Republican always federal major already PM exactly.,sospetta,Cyprus
4120,2023-01-13 20:07:33,106.69,prelievo,Holly Jenkins,Board impact get statement pretty of.,sospetta,Belgium
6462,2023-02-02 11:13:40,209.51,prelievo,Mitchell Wright,Moment century everything strategy.,sospetta,Italy
2815,2023-01-26 22:00:35,588.2,acquisto,Mackenzie Lewis,Plan something maybe hand front.,autorizzata,Georgia
9268,2023-06-08 21:37:19,993.62,acquisto,Erin Boyle,Start western me recognize.,autorizzata,Saint Martin
4437,2023-05-31 03:42:19,922.88,trasferimento,Amy Ballard,Table key industry gas put raise attack.,autorizzata,Aruba
4996,2023-05-14 20:33:13,308.73,trasferimento,Karen Scott,Leave test suddenly.,autorizzata,Afghanistan
2131,2023-01-02 08:14:25,154.9,trasferimento,Michelle Johnson,Husband improve able hour stop player.,sospetta,France
7823,2023-02-10 22:25:12,403.94,prelievo,Stephen Ramirez,Message back respond since six fund writer.,autorizzata,Saint Pierre and Miquelon
1365,2023-05-23 23:46:17,25.97,prelievo,Brandon Curtis,Kitchen government stuff above enough miss work.,autorizzata,Iran
5295,2023-06-06 16:24:26,882.25,acquisto,Joseph Fitzgerald,Rich catch will.,autorizzata,United States of America
248,2023-04-28 20:07:34,98.83,acquisto,Kevin Garcia,Skill different manage create situation process everybody.,autorizzata,Japan
8376,2023-08-06 22:32:45,786.14,prelievo,Gwendolyn Henderson,Camera hold kind two section loss.,autorizzata,Central African Republic
2961,2023-07-03 10:19:00,786.4,prelievo,Rachel Cooper,Majority author firm wife simply fish.,autorizzata,Trinidad and Tobago
2645,2023-02-21 01:43:48,986.24,acquisto,Cory Douglas,Even carry security too letter.,autorizzata,Comoros
966,2023-02-03 19:39:05,908.36,prelievo,Kelly Scott,Eat budget nor help wide.,autorizzata,Andorra
5565,2023-07-05 00:00:31,349.55,prelievo,Michael Walker,Husband recently represent either letter even than.,autorizzata,Panama
7157,2023-04-26 07:40:47,250.35,acquisto,Lawrence Li,Song remember simple television deal fund rule.,autorizzata,Dominica
2783,2023-04-08 00:06:54,687.71,acquisto,David Cardenas,Know half dream rich concern.,autorizzata,Tuvalu
6621,2023-03-04 21:05:07,538.04,trasferimento,Jill Ramos,Deep other sea management present.,autorizzata,Grenada
8722,2023-07-10 07:00:20,996.35,acquisto,Mariah Parker,Because only drive surface.,autorizzata,Peru
5735,2023-05-22 02:40:43,767.27,trasferimento,Evelyn Olson,Blue single become.,autorizzata,French Southern Territories
